Scheme Name,Ministry,Category,Eligibility,Benefits,Required Documents,Coverage,Official Portal
Dr. Ambedkar Post Matric Scholarship for EBC,Social Justice,Scholarship,EBC students with family income below Rs.1 lakh,Scholarship for post-matriculation education,"EBC Certificate, Marksheet",India,https://scholarships.gov.in
Beti Bachao Beti Padhao,Women & Child Development,Women,Girls from birth to higher education,Awareness campaign and financial support for girl education,"Birth Certificate, Aadhaar",India,https://wcd.nic.in/bbbp-schemes
POSHAN Abhiyaan,Women & Child Development,Women,Pregnant women and children under 6 years,Nutrition support to reduce malnutrition and stunting,"Aadhaar, Health Records",India,https://poshanabhiyaan.gov.in
Maternity Benefit Programme - PMMVY,Women & Child Development,Women,Pregnant women and lactating mothers for first child,Rs.6,000 cash incentive for maternity benefit,"Aadhaar, Bank Account, Maternal and Child Protection Card",India,https://wcd.nic.in/schemes/pradhan-mantri-matru-vandana-yojana
Mahila Shakti Kendra,Women & Child Development,Women,Women in rural areas,Skill development and digital literacy training,"Aadhaar, Address Proof",India,https://wcd.nic.in
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Rural Development,Employment,Rural youth aged 15-35 years (45 for SC/ST/PwD),Free skill training with placement support and Rs.1 lakh insurance,"Aadhaar, Age Proof",India,https://ddugky.gov.in
Mahatma Gandhi NREGA,Rural Development,Employment,Any rural household adult willing to do unskilled manual work,Guaranteed 100 days of wage employment per year,"Job Card, Aadhaar, Bank Account",India,https://nrega.nic.in
PM Gram Sadak Yojana,Rural Development,Infrastructure,Rural populations in habitations without all-weather roads,All-weather road connectivity to rural habitations,N/A (Government scheme),India,https://pmgsy.nic.in
National Rural Livelihood Mission - NRLM,Rural Development,Women,Rural poor women for self-help group formation,Self-help group formation with bank linkage and livelihood support,"Aadhaar, Bank Account",India,https://aajeevika.gov.in
Startup India,DPIIT,Startup,Eligible startups registered in India under DPIIT,Tax exemptions 80IAC and fund of funds access,"Company Registration, DPIIT Recognition Certificate",India,https://www.startupindia.gov.in
Atal Innovation Mission,NITI Aayog,Startup,Students and startups in ATL/AIM programs,Innovation labs and mentorship support,"School/College ID",India,https://aim.gov.in
Fund of Funds for Startups,SIDBI,Startup,SEBI-registered Alternate Investment Funds investing in startups,Corpus of Rs.10,000 crore for startup ecosystem,"AIF Registration, Startup Portfolio Details",India,https://www.sidbi.in
Credit Guarantee Fund for Startups,DPIIT,Startup,Eligible startups with DPIIT recognition,Credit guarantee for loans without collateral,"DPIIT Recognition, Business Plan",India,https://www.startupindia.gov.in
PM SVANidhi - Street Vendors,Housing & Urban Affairs,Employment,Urban street vendors affected by COVID-19,Collateral-free working capital loan of Rs.10,000 to Rs.50,000,"Vending Certificate, Aadhaar, Bank Account",India,https://pmsvanidhi.mohua.gov.in
PM Vishwakarma Scheme,MSME,Skill,Traditional artisans and craftspeople in 18 trades,Skill training and credit support up to Rs.3 lakh at 5% interest,"Aadhaar, Trade Proof",India,https://pmvishwakarma.gov.in
One District One Product,MSME,MSME,Artisans and small businesses in ODOP products,Marketing support and branding for local products,"Trade License, Aadhaar",India,https://odop.in
ASPIRE - Agro-based Incubators,MSME,Startup,Agri-entrepreneurs and startups in rural areas,Incubation support and funding for agri-based businesses,"Business Plan, Age Proof",India,https://msme.gov.in
PM E-Bus Sewa,Urban Transport,Employment,City transport authorities,Electric bus deployment support for city transport,N/A (Government scheme),India,https://mohua.gov.in
Digital India Initiative,Electronics & IT,Skill,Citizens seeking digital literacy,Digital literacy training and e-governance access,"Aadhaar",India,https://www.digitalindia.gov.in
PM Wani - WiFi Access Network Interface,Electronics & IT,Employment,Entrepreneurs setting up public WiFi hotspots,Support for public WiFi hotspot business,"Business Registration",India,https://dot.gov.in
Jal Jeevan Mission,Jal Shakti,Infrastructure,Rural households without tap water connection,Functional household tap water connection,N/A (Government scheme),India,https://jaljeevanmission.gov.in
Swachh Bharat Mission - Rural,Jal Shakti,Housing,Rural households without toilets (BPL/poor families),Financial assistance of Rs.12,000 for toilet construction,"BPL Card, Aadhaar",India,https://sbm.gov.in
PM Surya Ghar Muft Bijli Yojana,New & Renewable Energy,Housing,Residential households for rooftop solar installation,Up to 300 units free electricity per month with subsidy,"Electricity Bill, Aadhaar, Bank Account",India,https://pmsuryaghar.gov.in
National Solar Mission,New & Renewable Energy,Agriculture,Farmers for solar pump installation,Subsidy on solar water pumps up to 7.5 HP,"Land Records, Electricity Connection Proof",India,https://mnre.gov.in
Ayushman Bharat Health and Wellness Centres,Health,Healthcare,All citizens especially in rural and semi-urban areas,Free primary healthcare services at health and wellness centres,"Aadhaar",India,https://ab-hwc.nhp.gov.in
National Health Mission,Health,Healthcare,Pregnant women children and rural population,Free maternal neonatal child health services,"Mother and Child Protection Card, Aadhaar",India,https://nhm.gov.in
Janani Suraksha Yojana,Health,Women,Pregnant women in BPL category especially in LPS states,Cash assistance of Rs.1,400 (rural) Rs.1,000 (urban) for institutional delivery,"BPL Card, Mother Card, Aadhaar, Bank Account",India,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841
Rashtriya Swasthya Bima Yojana,Health,Healthcare,BPL workers in unorganised sector and their family (5 members),Cashless hospitalization up to Rs.30,000 per family,"BPL Card, Aadhaar",India,https://labour.gov.in/rsby
ESIC Health Insurance,Labour,Insurance,Employees earning up to Rs.21,000 per month in covered industries,Comprehensive medical care and cash benefits during sickness,"Employee ID, Aadhaar",India,https://www.esic.in
National Pension System,Finance,Pension,All Indian citizens aged 18-70 years,Market-linked pension savings with tax benefits,"PAN, Aadhaar, Bank Account",India,https://www.npscra.nsdl.co.in
Pradhan Mantri Vaya Vandana Yojana,Finance,Pension,Senior citizens aged 60 years and above,Guaranteed pension at 7.4% interest for 10 years,"Age Proof, Bank Account, Aadhaar",India,https://www.licindia.in
Indira Gandhi National Old Age Pension,Rural Development,Pension,BPL citizens aged 60 years and above,Monthly pension of Rs.200-500,"BPL Card, Age Proof, Bank Account",India,https://nsap.nic.in
Indira Gandhi National Widow Pension,Rural Development,Women,BPL widows aged 40-59 years,Monthly pension of Rs.300,"BPL Card, Death Certificate of Spouse, Bank Account",India,https://nsap.nic.in
Indira Gandhi National Disability Pension,Rural Development,Disability,BPL persons with 80% or more disability aged 18-59,Monthly pension of Rs.300,"BPL Card, Disability Certificate, Bank Account",India,https://nsap.nic.in
Deen Dayal Upadhyaya Antyodaya Yojana - Urban,Housing & Urban Affairs,Employment,Urban poor for skill development and self-employment,Skill training and self-employment support,"Aadhaar, Income Proof",India,https://aajeevika.gov.in/urban-livelihood
PM YUVA 2.0 - Young Writers Scheme,Education,Scholarship,Writers aged 18-30 years selected through competition,Mentorship stipend Rs.50,000/month for 6 months and publication,"Age Proof, Writing Sample",India,https://www.nbtindia.gov.in
Scholarship for Higher Education - Inspire,Education,Scholarship,Top 1% students in class 12 board examination,Rs.80,000 per year scholarship for science higher education,"Marksheet, Aadhaar, Bank Account",India,https://online-inspire.gov.in
PM Research Fellowship,Education,Scholarship,Outstanding B.Tech graduates for PhD in IITs/IISc,Monthly fellowship of Rs.70,000-80,000 for PhD,"B.Tech Degree, GATE Score, Aadhaar",India,https://www.pmrf.in
Credit Linked Capital Subsidy Scheme,MSME,MSME,Small industries for technology upgradation,15% capital subsidy up to Rs.15 lakh for plant and machinery upgrade,"Business Registration, Bank Loan Documents",India,https://clcss.dcmsme.gov.in
MSME Champions Scheme,MSME,MSME,MSMEs for technology and quality upgradation,Financial and technical support for MSME modernization,"Business Registration, Udyam Certificate",India,https://msme.gov.in
Udyam Registration,MSME,MSME,All micro small and medium enterprises,Free MSME registration with benefits access,"Aadhaar, PAN, Business Details",India,https://udyamregistration.gov.in
